sep=,,
trader_no_reputation_fox_node0,"У тебя недостаточно репутации, чтобы торговаться с лисами!",Your reputation is not high enough to trade with the Forest Brotherhood!
079_finish_transition0_1,"No, is that what you wanted me to do? I killed a golem and brought you its heart.","No, is that what you wanted me to do? I killed a golem and brought you its heart."
079_finish_transition1_1,"Okay, thanks. [wipe golem blood off hands]","Okay, thanks. [wipe golem blood off hands]"
079_finish_transition2_1,"Uh, okay, I'll consider that.","Uh, okay, I'll consider that."
101_start_node2,"W-well, I didn't think you'd get mad about it. This seems like a good trade to me. I-I had some knowledge that you didn't have, and we traded a little. That's fair. Isn't it?","W-well, I didn't think you'd get mad about it. This seems like a good trade to me. I-I had some knowledge that you didn't have, and we traded a little. That's fair. Isn't it?"
101_start_node3,"Oh, well, wonderful!! We hope you can help us again sometime.","Oh, well, wonderful!! We hope you can help us again sometime."
101_start_transition2_1,Nnnff. >sigh< I guess so. Thanks for your help. I see your side of it.,Nnnff. >sigh< I guess so. Thanks for your help. I see your side of it.
101_start_transition2_2,"You must be out of your mind, Fox man. You and all your followers can go jump in a lake.","You must be out of your mind, Fox man. You and all your followers can go jump in a lake."
101_start_transition3_1,"Heh. Yeah, I guess. Boy, the things I do to avoid an argument...","Heh. Yeah, I guess. Boy, the things I do to avoid an argument..."
087_start_node2,"Brave AND foolish! Why, you may be more useful to me than I thought! Follow the directions I have given you to the Caves of Infinite Terror, bring me the stone, and I have much forbidden knowledge to impart to you.","Brave AND foolish! Why, you may be more useful to me than I thought! Follow the directions I have given you to the Caves of Infinite Terror, bring me the stone, and I have much forbidden knowledge to impart to you."
087_start_transition2_1,"The Caves of...? Oh great. Okay, see you later if I'm still alive.","The Caves of...? Oh great. Okay, see you later if I'm still alive."
087_finish_node2,"Ah, thank you, Gromov. Come back any time.","Ah, thank you, Gromov. Come back any time."
087_finish_transition1_2,Uh...nothing. Nope. Here's the stone. Don't worry about taking any precautions with it.,Uh...nothing. Nope. Here's the stone. Don't worry about taking any precautions with it.
087_finish_transition2_1,Уou're welcome.,Уou're welcome.
089_start_transition4_2,"Ah, never mind, we're good. What should I do?","Ah, never mind, we're good. What should I do?"
091_start_node4,>ding< It is yours for 1000 gold. I need the money to retire to a nice cozy metal box somewhere.,>ding< It is yours for 1000 gold. I need the money to retire to a nice cozy metal box somewhere.
091_start_node5,>ding ding< Excellent. Here is the translator. It will require many interactions with the creatures in order to build its vocabulary. I wish you luck. You will need it with Lucifred.,>ding ding< Excellent. Here is the translator. It will require many interactions with the creatures in order to build its vocabulary. I wish you luck. You will need it with Lucifred.
091_start_node6,>bzzt bzzt< Then the price is reduced. 700 gold and it is yours.,>bzzt bzzt< Then the price is reduced. 700 gold and it is yours.
091_start_transition3_2,"That sounds good, but I already have a Troll language dictionary.","That sounds good, but I already have a Troll language dictionary."
091_start_transition4_1,That sounds good. Let's do it!,That sounds good. Let's do it!
091_start_transition4_2,I'm a little short on funds. I'll be back when I get some more money.,I'm a little short on funds. I'll be back when I get some more money.
091_start_transition5_1,All right. Happy retirement.,All right. Happy retirement.
091_start_transition6_1,Deal.,Deal.
091_start_transition6_2,I'm a little short on funds. I'll be back when I get some more money.,I'm a little short on funds. I'll be back when I get some more money.
093_start_transition0_2,"Hmm, how do I get them to talk? [Leave golems alone]","Hmm, how do I get them to talk? [Leave golems alone]"
094_start_node2,"[troll all nod, make terrifying faces at you, and point at the lair]","[troll all nod, make terrifying faces at you, and point at the lair]"
094_start_node3,[troll cheers wildly and points at the lair],[troll cheers wildly and points at the lair]
094_start_transition0_2,Foz Yog?,Foz Yog?
094_start_transition0_3,KROB LA!,KROB LA!
094_start_transition2_1,"...I'm lost. I'll see you after I come out of this lair, I guess.","...I'm lost. I'll see you after I come out of this lair, I guess."
094_start_transition3_1,I don't know what this means! KROB LA!!,I don't know what this means! KROB LA!!
094_troll_kill_south_node2,[all trolls cheer],[all trolls cheer]
094_troll_kill_south_node3,[Trolls come in for a group hug],[Trolls come in for a group hug]
094_troll_kill_south_transition0_2,Krob la Foz Yog! [Smash the Wild Monsters!],Krob la Foz Yog! [Smash the Wild Monsters!]
094_troll_kill_south_transition0_3,Dunkle Bort. [Troll Ally],Dunkle Bort. [Troll Ally]
094_troll_kill_south_transition2_1,YEAH! TROLLS!,YEAH! TROLLS!
094_troll_kill_south_transition3_1,Awww... Trolls.,Awww... Trolls.
094_troll_kill_north_node2,[all trolls cheer],[all trolls cheer]
094_troll_kill_north_node3,[Trolls come in for a group hug],[Trolls come in for a group hug]
094_troll_kill_north_transition0_2,Krob la Foz Yog! [Smash the Wild Monsters!],Krob la Foz Yog! [Smash the Wild Monsters!]
094_troll_kill_north_transition0_3,Dunkle Bort. [Troll Ally],Dunkle Bort. [Troll Ally]
094_troll_kill_north_transition2_1,YEAH! TROLLS!,YEAH! TROLLS!
094_troll_kill_north_transition3_1,Awww... Trolls.,Awww... Trolls.
094_troll_kill_east_node2,[all trolls cheer],[all trolls cheer]
094_troll_kill_east_node3,[Trolls come in for a group hug],[Trolls come in for a group hug]
094_troll_kill_east_transition0_2,Krob la Foz Yog! [Smash the Wild Monsters!],Krob la Foz Yog! [Smash the Wild Monsters!]
094_troll_kill_east_transition0_3,Dunkle Bort. [Troll Ally],Dunkle Bort. [Troll Ally]
094_troll_kill_east_transition2_1,YEAH! TROLLS!,YEAH! TROLLS!
094_troll_kill_east_transition3_1,Awww... Trolls.,Awww... Trolls.
095_start_transition0_2,"Gee, you know, I've been meaning to learn it for a while, but I've just been so busy helping everyone out...","Gee, you know, I've been meaning to learn it for a while, but I've just been so busy helping everyone out..."
095_troll_guard_1_node2,"When him take bars, yes, him smell like motor oil. Not smell like anymore. Him tricksy! Him others still steal! We catch them too!","When him take bars, yes, him smell like motor oil. Not smell like anymore. Him tricksy! Him others still steal! We catch them too!"
095_troll_guard_1_node3,"Him only one around! How it be other ones? Him around when steal happens, so him do stealing!","Him only one around! How it be other ones? Him around when steal happens, so him do stealing!"
095_troll_guard_1_transition2_1,"So, is you very-sure that prisoner is right one? That prisoner steal you's shiny bars? Him have shiny bars when you catch him?","So, is you very-sure that prisoner is right one? That prisoner steal you's shiny bars? Him have shiny bars when you catch him?"
095_troll_guard_1_transition3_1,Look like there a few problems here. Smell different. Not have bars when caught. Me investigate.,Look like there a few problems here. Smell different. Not have bars when caught. Me investigate.
096_start_node2,"What ye say may be true, Pretend Robot, but where do we find the scrap we need, if not from the slow, stupid trolls? My crew may be fierce warriors, but we be not prepared to battle ICE GOLEMS and SNOW LEOPARDS every time we desire a broken-down car part! If ye help us by clearing away some of these terrible beasts, we may do as ye say!","What ye say may be true, Pretend Robot, but where do we find the scrap we need, if not from the slow, stupid trolls? My crew may be fierce warriors, but we be not prepared to battle ICE GOLEMS and SNOW LEOPARDS every time we desire a broken-down car part! If ye help us by clearing away some of these terrible beasts, we may do as ye say!"
096_start_transition2_1,"We have a deal, Captain.","We have a deal, Captain."
IC_003_start_node0,>skkssskk< Gromov? You there? Dave here. I've heard some rumors about the world you're on. It sounds like the >skkssk< folks who could help you get home are the Forest Brotherhood. >kssks<,>skkssskk< Gromov? You there? Dave here. I've heard some rumors about the world you're on. It sounds like the >skkssk< folks who could help you get home are the Forest Brotherhood. >kssks<
